1,Avatar,2788,760.5,2027.5,2009
2,Titanic,2187.5,659.4,1528.1,1997
3,Star Wars: The Force Awakens,2068.2,936.7,1131.6,2015
4,Avengers: Infinity War,2048.4,678.8,1369.5,2018
5,Jurassic World,1671.7,652.3,1019.4,2015
6,Marvel's The Avengers,1518.8,623.4,895.5,2012
7,Furious 7,1516,353,1163,2015
8,Avengers: Age of Ultron,1405.4,459,946.4,2015
9,Black Panther,1346.9,700.1,646.9,2018
10,Avengers: Endgame,1342.7,394,948.7,2019
11,Harry Potter and the Deathly Hallows Part 2,1341.7,381.2,960.5,2011
12,Star Wars: The Last Jedi,1332.5,620.2,712.4,2017
13,Jurassic World: Fallen Kingdom,1309.5,417.7,891.8,2018
14,Frozen,1276.5,400.7,875.7,2013
15,Beauty and the Beast (2017),1263.5,504,759.5,2017
16,Incredibles 2,1242.8,608.6,634.2,2018
17,The Fate of the Furious,1236,226,1010,2017
18,Iron Man 3,1214.8,409,805.8,2013
19,Minions,1159.4,336,823.4,2015
20,Captain America: Civil War,1153.3,408.1,745.2,2016
21,Aquaman,1147.7,335.1,812.6,2018
22,Transformers: Dark of the Moon,1123.8,352.4,771.4,2011
23,The Lord of the Rings: The Return of the King,1119.9,377.8,742.1,2003
24,Captain Marvel ,1111.4,414.5,696.8,2019
25,Skyfall,1108.6,304.4,804.2,2012
26,Transformers: Age of Extinction,1104.1,245.4,858.6,2014
27,The Dark Knight Rises,1084.9,448.1,636.8,2012
28,Toy Story 3,1067,415,652,2010
29,Pirates of the Caribbean: Dead Man's Chest,1066.2,423.3,642.9,2006
30,Rogue One: A Star Wars Story,1056.1,532.2,523.9,2016
31,Pirates of the Caribbean: On Stranger Tides,1045.7,241.1,804.6,2011
32,Despicable Me 3,1034.8,264.6,770.2,2017
33,Jurassic Park,1029.5,402.8,626.7,1993
34,Finding Dory,1028.6,486.3,542.3,2016
35,Star Wars: Episode I - The Phantom Menace,1027,474.5,552.5,1999
36,Alice in Wonderland (2010),1025.5,334.2,691.3,2010
37,Zootopia,1023.8,341.3,682.5,2016
38,The Hobbit: An Unexpected Journey,1021.1,303,718.1,2012
39,The Dark Knight,1004.9,535.2,469.7,2008
